time,Lead_I,Lead_II
0.452,-0.0028,-0.0104
0.456,0.0124,0.0107
0.46,-0.0014,-0.0051
0.464,-0.0069,0.0037
0.468,0.018,-0.0064
0.472,-0.0104,0.0019
0.476,-0.0115,0.0068
0.48,0.0025,-0.022
0.484,0.0182,0.005
0.488,0.0138,-0.0035
0.492,0.0096,0.0015
0.496,0.0097,-0.0033
0.5,-0.0032,-0.0115
0.504,0.0024,0.0012
0.508,-0.0213,0.0135
0.512,-0.0021,-0.0079
0.516,-0.0018,0.0028
0.52,0.0063,0.0053
0.524,-0.0084,-0.006
0.528,-0.0042,0.0004
0.532,0.0038,-0.0049
0.536,-0.0043,-0.0009
0.54,0.0058,0.0102
0.544,0.0096,0.0008
0.548,-0.0168,0.0081
0.552,0.0217,0.004
0.556,0.0094,0.0353
0.56,0.007,-0.0002
0.564,0.0264,-0.0014
0.568,0.0061,0.0169
0.572,0.0292,0.0141
0.576,0.0282,0.0229
0.58,0.0572,0.0156
0.584,0.0528,0.0397
0.588,0.0654,0.0498
0.592,0.0808,0.0654
0.596,0.0773,0.0728
0.6,0.1089,0.0792
0.604,0.1305,0.0799
0.608,0.1405,0.0855
0.612,0.1779,0.1073
0.616,0.1875,0.1362
0.62,0.2154,0.1329
0.624,0.2417,0.1527
0.628,0.2458,0.1803
0.632,0.2629,0.1841
0.636,0.2721,0.1956
0.64,0.2958,0.2067
0.644,0.29,0.2117
0.648,0.2939,0.2105
0.652,0.2849,0.2189
0.656,0.3028,0.1788
0.66,0.2837,0.2107
0.664,0.2636,0.1899
0.668,0.2611,0.2017
0.672,0.2424,0.1677
0.676,0.2226,0.1742
0.68,0.2067,0.165
0.684,0.187,0.1334
0.688,0.1817,0.1234
0.692,0.1578,0.1186
0.696,0.1396,0.0821
0.7,0.1073,0.0884
0.704,0.084,0.0526
0.708,0.0747,0.0511
0.712,0.0611,0.0486
0.716,0.0507,0.0257
0.72,0.0532,0.0331
0.724,0.038,0.0255
0.728,0.006,0.0177
0.732,0.0067,0.0326
0.736,0.0064,0.0077
0.74,0.0058,-0.0169
0.744,0.006,0.0121
0.748,0.0109,-0.008
0.752,0.0183,0.0115
0.756,0.0073,0.0006
0.76,-0.0101,-0.0197
0.764,-0.0077,-0.0008
0.768,0.011,0.0086
0.772,-0.0188,0.0115
0.776,0.0146,-0.0071
0.78,0.0022,0.0056
0.784,0.0089,-0.0166
0.788,0.0119,-0.0156
0.792,-0.0068,-0.0024
0.796,0.0037,0.0009
0.8,0.003,0.0037
0.804,-0.0182,-0.0077
0.808,-0.0021,0.0129
0.812,-0.0091,0.0093
0.816,0.0106,0.0119
0.82,0.0054,-0.007
0.824,0.0088,-0.0066
0.828,-0.0039,-0.0007
0.832,-0.0059,0.0193
0.836,-0.0197,0.0086
0.84,-0.0133,0.017
0.844,0.0065,-0.0024
0.848,-0.0063,-0.0006
0.852,-0.0058,0.0088
0.856,0.0042,-0.0126
0.86,0.0182,0.0059
0.864,0.0167,-0.0121
0.868,-0.0038,0.0066
0.872,-0.0157,-0.0096
0.876,0.0078,0.0041
0.88,0.0062,0.0213
0.884,0.0106,-0.0168
0.888,-0.0173,-0.0132
0.892,0.0042,-0.0077
0.896,-0.0065,-0.021
0.9,-0.0104,-0.0024
0.904,0.0123,0.0002
0.908,0.001,-0.0141
0.912,0.0033,-0.0094
0.916,-0.0018,-0.0064
0.92,-0.0007,0.0027
0.924,0.0051,0.0321
0.928,-0.0126,0.0088
0.932,-0.0197,0.0006
0.936,0.0137,-0.0081
0.94,-0.0047,-0.016
0.944,-0.0037,0.0035
0.948,0.022,0.0167
0.952,-0.0019,0.0119
0.956,-0.0125,0.0094
0.96,-0.0008,0.0053
0.964,-0.0073,-0.0022
0.968,0.0129,-0.0079
0.972,0.0128,-0.006
0.976,-0.024,-0.0062
0.98,-0.0084,-0.0032
0.984,-0.0002,0.0297
0.988,-0.0015,-0.002
0.992,0.0046,0.0142
0.996,0.0249,0.0083
1.0,0.0086,0.0192
1.004,0.0449,0.0052
1.008,0.0317,0.0308
1.012,0.0532,0.0477
1.016,0.0737,0.0438
1.02,0.0987,0.0466
1.024,0.0962,0.0771
1.028,0.113,0.0943
1.032,0.1507,0.0953
1.036,0.1481,0.1063
1.04,0.1453,0.122
1.044,0.1521,0.1164
1.048,0.1348,0.1032
1.052,0.1167,0.0904
1.056,0.1123,0.0713
1.06,0.0804,0.0697
1.064,0.0796,0.0499
1.068,0.0575,0.0398
1.072,0.0357,0.0212
1.076,0.0131,0.0207
1.08,0.0434,0.0106
1.084,0.0279,0.0135
1.088,0.0012,0.0126
1.092,0.0091,-0.0162
1.096,-0.0005,0.001
1.1,-0.0075,0.0024
1.104,0.0007,-0.0083
1.108,0.0083,0.0084
1.112,-0.0238,0.0101
1.116,-0.0196,-0.0009
1.12,-0.0083,-0.0121
1.124,0.0057,0.0099
1.128,0.0087,0.0218
1.132,-0.0016,0.0151
1.136,-0.0058,0.0018
1.14,-0.0033,-0.0093
1.144,0.0085,0.0067
1.148,0.0033,0.0176
1.152,0.0079,-0.0041
1.156,0.0119,-0.0094
1.16,-0.0072,0.003
1.164,-0.0074,-0.0172
1.168,-0.0604,-0.0384
1.172,-0.0808,-0.0682
1.176,-0.1201,-0.0923
1.18,-0.0968,-0.0666
1.184,0.0085,0.001
1.188,0.2376,0.1889
1.192,0.5547,0.3778
1.196,0.8619,0.5993
1.2,0.9746,0.672
1.204,0.8568,0.6041
1.208,0.5268,0.3828
1.212,0.1973,0.1178
1.216,-0.0728,-0.0634
1.22,-0.2241,-0.1228
1.224,-0.2137,-0.1484
1.228,-0.1365,-0.1076
1.232,-0.0576,-0.0485
1.236,-0.0432,-0.0195
1.24,-0.0121,-0.0026
1.244,-0.0007,0.0198
1.248,0.0008,0.0092
1.252,-0.0128,0.0009
1.256,0.0083,0.0003
1.26,-0.0139,0.0032
1.264,-0.0046,-0.0028
1.268,0.0091,-0.0142
1.272,-0.0008,0.0084
1.276,-0.01,-0.013
1.28,0.0111,-0.004
1.284,0.0034,0.0079
1.288,0.0093,0.0158
1.292,0.005,-0.0057
1.296,-0.0138,0.0153
1.3,0.0129,-0.0102
1.304,-0.0004,-0.0059
1.308,-0.0066,0.0083
1.312,-0.0156,-0.0043
1.316,-0.0087,0.0087
1.32,0.0119,-0.0072
1.324,0.004,-0.0066
1.328,0.007,0.0043
1.332,0.0008,0.0011
1.336,0.0025,-0.0011
1.34,-0.0041,0.0106
1.344,0.0141,0.0082
1.348,0.0316,0.0038
1.352,-0.0062,0.001
1.356,0.0096,0.0119
1.36,0.0138,-0.0027
1.364,0.0107,-0.0103
1.368,0.0182,0.0124
1.372,0.0153,0.032
1.376,0.039,0.0345
1.38,0.0412,0.0368
1.384,0.0505,0.033
1.388,0.0583,0.0487
1.392,0.0597,0.0557
1.396,0.1053,0.0741
1.4,0.1085,0.0734
1.404,0.1371,0.1119
1.408,0.1541,0.0923
1.412,0.1869,0.1107
1.416,0.1822,0.1554
1.42,0.2092,0.1484
1.424,0.2368,0.165
1.428,0.2475,0.1791
1.432,0.2772,0.1887
1.436,0.2732,0.1957
1.44,0.2758,0.2191
1.444,0.3203,0.1947
1.448,0.3068,0.2065
1.452,0.2898,0.2222
1.456,0.2806,0.2001
1.46,0.2779,0.1902
1.464,0.2869,0.1819
1.468,0.2524,0.1783
1.472,0.2449,0.1752
1.476,0.2305,0.1621
1.48,0.2105,0.1604
1.484,0.1875,0.1358
1.488,0.1572,0.1131
1.492,0.1454,0.0936
1.496,0.1174,0.0772
1.5,0.11,0.0739
1.504,0.1063,0.0654
1.508,0.0801,0.0647
1.512,0.0491,0.0544
1.516,0.0419,0.0405
1.52,0.0274,0.0291
1.524,0.0375,0.0251
1.528,0.0335,0.0184
1.532,0.0308,0.0291
1.536,0.0129,-0.0194
1.54,-0.0059,-0.0057
1.544,-0.0081,-0.0039
1.548,0.0126,-0.002
1.552,0.0148,0.0138
1.556,0.0186,-0.0001
1.56,0.0166,0.0102
1.564,-0.0083,-0.0008
1.568,-0.0158,0.0083
1.572,-0.0164,-0.0054
1.576,-0.012,0.0098
1.58,0.0078,0.0015
1.584,-0.0043,0.0005
1.588,-0.0101,0.0088
1.592,0.0125,0.0006
1.596,-0.0041,0.0232
1.6,-0.0004,-0.0025
1.604,-0.0068,0.0081
1.608,-0.0015,0.005
1.612,-0.0066,0.0154
1.616,0.0094,-0.0126
1.62,0.0101,-0.0015
1.624,-0.0093,0.005
1.628,-0.0043,-0.0052
1.632,0.0066,0.0043
1.636,0.0005,-0.0092
1.64,-0.0035,-0.0007
1.644,0.008,-0.0022
1.648,0.0103,0.0018
1.652,-0.0018,0.0068
1.656,-0.0136,0.0121
1.66,0.0157,0.0122
1.664,0.0092,-0.0026
1.668,-0.0117,-0.0012
1.672,-0.0135,0.009
1.676,0.004,0.0112
1.68,-0.0061,-0.0052
1.684,-0.0037,0.0105
1.688,0.0064,-0.0029
1.692,0.0043,0.024
1.696,-0.0066,-0.0028
1.7,0.0119,0.0041
1.704,-0.0002,-0.0041
1.708,0.0081,-0.0167
1.712,0.0008,-0.0045
1.716,0.0146,0.0092
1.72,-0.0135,-0.0013
1.724,0.0215,0.0055
1.728,-0.0131,0.0016
1.732,-0.0156,0.0025
1.736,-0.011,0.0037
1.74,-0.0103,0.007
1.744,0.0159,-0.0004
1.748,0.0026,-0.013
1.752,0.007,0.0037
1.756,-0.005,-0.0118
1.76,-0.0095,-0.0052
1.764,0.0157,0.0021
1.768,-0.0011,-0.0009
1.772,-0.0013,0.0046
1.776,0.0027,-0.0014
1.78,-0.0018,0.009
1.784,0.0083,0.0073
1.788,-0.0065,-0.0164
1.792,0.0037,0.014
1.796,0.0016,0.0051
1.8,0.0171,0.0048
1.804,0.0412,0.0156
1.808,0.0258,0.0182
1.812,0.0437,0.0357
1.816,0.0846,0.0322
1.82,0.0868,0.0686
1.824,0.1,0.0781
1.828,0.1501,0.101
1.832,0.134,0.0966
1.836,0.1489,0.1072
1.84,0.1517,0.1024
1.844,0.1567,0.1135
1.848,0.1356,0.1
1.852,0.116,0.0875
1.856,0.1182,0.0783
1.86,0.1186,0.0638
1.864,0.0535,0.0388
1.868,0.048,0.0244
1.872,0.056,0.0163
1.876,0.0148,0.0277
1.88,0.023,0.0121
1.884,0.0086,0.0141
1.888,0.0088,0.0026
1.892,0.012,0.0157
1.896,0.0168,-0.0073
1.9,0.0148,-0.0029
1.904,-0.0036,0.0053
1.908,0.011,-0.0045
1.912,0.0173,-0.0071
1.916,0.0088,-0.0072
1.92,0.0104,0.0009
1.924,-0.0028,0.0012
1.928,-0.008,0.002
1.932,0.0045,0.0011
1.936,0.0112,-0.0155
1.94,-0.0032,-0.0016
1.944,-0.0096,0.0207
1.948,0.0062,0.0025
1.952,-0.0157,-0.0078
1.956,0.0016,-0.0173
1.96,-0.0144,-0.0139
1.964,-0.009,-0.0036
1.968,-0.0573,-0.0345
1.972,-0.0878,-0.0387
1.976,-0.1259,-0.0893
1.98,-0.1062,-0.0668
1.984,0.0118,0.0021
1.988,0.2448,0.1678
1.992,0.5582,0.379
1.996,0.8603,0.6083
2.0,0.978,0.7143
2.004,0.8505,0.6013
2.008,0.5279,0.3587
2.012,0.1743,0.1397
2.016,-0.0848,-0.0552
2.02,-0.1829,-0.1199
2.024,-0.1982,-0.1405
2.028,-0.1426,-0.0972
2.032,-0.0835,-0.0626
2.036,-0.045,-0.0167
2.04,0.0023,-0.0059
2.044,0.0032,0.0015
2.048,-0.0047,0.02
2.052,0.0113,-0.0056
2.056,0.0101,-0.0066
2.06,0.0076,0.0216
2.064,0.0101,-0.0033
2.068,-0.011,0.0007
2.072,-0.0013,-0.0165
2.076,0.0044,0.0013
2.08,-0.0094,0.0077
2.084,0.0012,0.0007
2.088,-0.0269,-0.0087
2.092,-0.0022,-0.0254
2.096,0.0098,0.004
2.1,0.01,-0.0008
2.104,0.0051,0.0047
2.108,0.0013,0.0062
2.112,0.0059,-0.0063
2.116,-0.003,-0.0009
2.12,-0.0241,0.019
2.124,-0.0,0.0084
2.128,0.0103,-0.0071
2.132,0.0222,-0.0172
2.136,0.0111,0.0275
2.14,0.0206,-0.0109
2.144,0.0071,0.0019
2.148,0.0099,0.0
2.152,0.0072,0.0102
2.156,0.0065,0.0208
2.16,0.003,-0.0022
2.164,0.0126,0.004
2.168,0.0132,-0.0027
2.172,0.0297,0.0143
2.176,0.0418,0.0246
2.18,0.0387,0.0386
2.184,0.0679,0.0385
2.188,0.046,0.055
2.192,0.0856,0.0682
2.196,0.0878,0.0647
2.2,0.1107,0.0878
2.204,0.133,0.0844
2.208,0.1444,0.1017
2.212,0.188,0.1224
2.216,0.1839,0.1198
2.22,0.202,0.1433
2.224,0.2407,0.1623
2.228,0.2525,0.1803
2.232,0.2659,0.1919
2.236,0.2722,0.1868
2.24,0.2878,0.2108
2.244,0.2794,0.2001
2.248,0.2994,0.2152
2.252,0.3055,0.2099
2.256,0.2732,0.2162
2.26,0.2864,0.2127
2.264,0.2686,0.2006
2.268,0.2723,0.1943
2.272,0.2546,0.1656
2.276,0.2262,0.1316
2.28,0.1922,0.1422
2.284,0.1984,0.1303
2.288,0.1739,0.112
2.292,0.1441,0.1057
2.296,0.13,0.095
2.3,0.1026,0.0669
2.304,0.0872,0.0699
2.308,0.0688,0.0701
2.312,0.0699,0.0327
2.316,0.0537,0.0444
2.32,0.0348,0.0331
2.324,0.0177,0.0291
2.328,0.0211,0.0149
2.332,0.0239,0.0219
2.336,0.0117,0.0027
2.34,-0.0008,0.0075
2.344,-0.0045,0.0021
2.348,0.0029,-0.0058
2.352,-0.0122,-0.0093
2.356,0.0169,-0.0011
2.36,0.0092,0.0044
2.364,0.0039,0.0146
2.368,0.0007,-0.005
2.372,-0.0191,-0.0019
2.376,-0.0008,0.0073
2.38,-0.0017,-0.0067
2.384,-0.0043,0.0078
2.388,-0.0098,0.0121
2.392,0.0022,-0.0028
2.396,-0.0043,-0.0099
2.4,-0.0156,-0.0035
2.404,0.0044,0.0031
2.408,-0.0064,-0.0024
2.412,0.0012,-0.0133
2.416,0.0027,-0.0101
2.42,-0.0038,-0.0061
2.424,0.0142,0.0062
2.428,0.0036,0.0052
2.432,0.0,0.0025
2.436,0.0046,-0.0072
2.44,-0.0057,-0.0127
2.444,-0.0175,-0.0036
2.448,-0.003,0.0132
2.452,0.0041,-0.0144
2.456,0.0045,-0.0025
2.46,-0.004,-0.0225
2.464,0.001,-0.0034
2.468,0.0023,0.0001
2.472,0.0037,0.0013
2.476,-0.0134,0.0016
2.48,-0.0128,-0.0016
2.484,0.0039,0.0095
2.488,-0.0029,-0.0099
2.492,0.0034,-0.001
2.496,0.0023,-0.0076
2.5,0.0022,0.0095
2.504,0.0021,0.0037
2.508,-0.0002,-0.0157
2.512,0.0059,-0.0047
2.516,-0.0026,0.0079
2.52,-0.0099,-0.013
2.524,0.0046,0.0061
2.528,-0.0136,-0.0021
2.532,0.012,0.0069
2.536,-0.0217,-0.0029
2.54,-0.0076,-0.0131
2.544,-0.0144,0.0036
2.548,0.0055,0.0025
2.552,-0.0019,0.0142
2.556,0.0013,0.0116
2.56,-0.0131,-0.0091
2.564,-0.0082,0.0049
2.568,-0.0088,-0.0188
2.572,-0.0002,0.0135
2.576,0.0032,0.0113
2.58,0.0053,0.0021
2.584,0.0032,0.0068
2.588,0.0047,0.0019
2.592,0.0168,0.017
2.596,0.0124,-0.0033
2.6,0.0004,0.0201
2.604,0.0243,0.0356
2.608,0.04,0.0213
2.612,0.0539,0.0365
2.616,0.0627,0.0596
2.62,0.0886,0.0585
2.624,0.1077,0.0732
2.628,0.1333,0.0768
2.632,0.1366,0.075
2.636,0.1485,0.1118
2.64,0.1473,0.0915
2.644,0.128,0.1112
2.648,0.1368,0.0914
2.652,0.1318,0.0876
2.656,0.13,0.0757
2.66,0.095,0.0609
2.664,0.0614,0.062
2.668,0.0834,0.0378
2.672,0.0415,0.021
2.676,0.0242,0.0159
2.68,0.0323,0.0243
2.684,-0.0106,-0.0092
2.688,0.0112,0.0125
2.692,0.0146,0.0076
2.696,-0.0055,-0.0019
2.7,0.0039,0.001
2.704,0.0077,0.0192
2.708,0.0086,0.0143
2.712,-0.0035,-0.009
2.716,0.0198,-0.0032
2.72,-0.0015,0.0038
2.724,-0.0022,-0.0016
2.728,-0.003,-0.0077
2.732,0.0041,-0.0046
2.736,-0.0092,-0.0014
2.74,-0.0093,0.0091
2.744,-0.0053,0.0072
2.748,0.0041,0.0152
2.752,-0.0004,0.0024
2.756,0.0188,0.0216
2.76,-0.0114,-0.0048
2.764,-0.0061,-0.0077
2.768,-0.0412,-0.0426
2.772,-0.0954,-0.0669
2.776,-0.1124,-0.1025
2.78,-0.1134,-0.0599
2.784,0.0098,-0.0181
2.788,0.2317,0.1668
2.792,0.5597,0.3927
2.796,0.856,0.6095
2.8,0.9724,0.7007
2.804,0.8562,0.5832
2.808,0.5355,0.3719
2.812,0.1851,0.1311
2.816,-0.0793,-0.0626
2.82,-0.2013,-0.1473
2.824,-0.1954,-0.1581
2.828,-0.1594,-0.1142
2.832,-0.0863,-0.0619
2.836,-0.0281,-0.0145
2.84,-0.0064,-0.0145
2.844,0.0011,-0.0107
2.848,0.0179,0.0018
2.852,-0.0019,-0.0071
2.856,-0.0138,0.0085
2.86,-0.013,-0.0134
2.864,-0.0152,0.0172
2.868,-0.0141,0.0045
2.872,0.0181,-0.0038
2.876,-0.0034,-0.0123
2.88,-0.0114,0.0173
2.884,-0.0104,0.0002
2.888,0.0072,0.0139
2.892,-0.0139,-0.0001
2.896,0.014,-0.015
2.9,0.0214,-0.0162
2.904,0.0034,-0.0098
2.908,-0.0098,-0.0021
2.912,0.0035,0.0052
2.916,-0.0035,-0.0089
2.92,-0.0255,0.0161
2.924,-0.0124,0.0151
2.928,0.0136,-0.0011
2.932,0.0082,0.0009
2.936,-0.0009,-0.0121
2.94,0.0002,0.0062
2.944,0.0031,0.0099
2.948,0.0027,0.003
2.952,0.006,0.0375
2.956,-0.0071,0.0047
2.96,0.0152,0.0173
2.964,0.0196,0.0112
2.968,0.0327,0.025
2.972,0.0354,0.0135
2.976,0.0124,0.0109
2.98,0.0539,0.0266
2.984,0.0537,0.0381
2.988,0.0676,0.0549
2.992,0.0752,0.0597
2.996,0.0838,0.0657
3.0,0.1132,0.0986
3.004,0.1267,0.0967
3.008,0.16,0.0965
3.012,0.174,0.1354
3.016,0.19,0.1248
3.02,0.217,0.1292
3.024,0.2399,0.1572
3.028,0.2452,0.1663
3.032,0.2721,0.1807
3.036,0.2878,0.1827
3.04,0.2903,0.2056
3.044,0.2906,0.2066
3.048,0.2966,0.2213
3.052,0.3003,0.208
3.056,0.275,0.2117
3.06,0.2909,0.1973
3.064,0.2674,0.1727
3.068,0.264,0.1936
3.072,0.2461,0.1834
3.076,0.2235,0.1556
3.08,0.2214,0.1501
3.084,0.1816,0.1443
3.088,0.1735,0.1162
3.092,0.1321,0.108
3.096,0.1308,0.0783
3.1,0.1015,0.0951
3.104,0.0893,0.065
3.108,0.0875,0.0588
3.112,0.051,0.0361
3.116,0.0399,0.0405
3.12,0.0254,0.0203
3.124,0.0143,0.0271
3.128,0.0132,0.0042
3.132,0.0195,0.0052
3.136,0.0067,0.018
3.14,0.0099,0.0157
3.144,0.0032,-0.0028
3.148,0.0167,-0.0006
3.152,0.0142,0.0088
3.156,0.0011,0.0017
3.16,-0.004,0.0066
3.164,0.0088,0.0104
3.168,0.0031,0.0113
3.172,0.0088,0.012
3.176,0.0084,-0.0271
3.18,-0.0045,-0.0014
3.184,0.0154,-0.0103
3.188,0.002,0.0014
3.192,-0.001,-0.001
3.196,0.0052,0.0017
3.2,0.0076,0.0141
3.204,0.0085,-0.0005
3.208,-0.0091,0.0095
3.212,0.0016,-0.0178
3.216,-0.0082,-0.0113
3.22,0.0059,0.0045
3.224,-0.017,0.0029
3.228,0.0096,0.0105
3.232,-0.001,0.0186
3.236,0.0103,0.0014
3.24,0.0027,-0.0068
3.244,0.0028,-0.0114
3.248,0.0126,0.0049
3.252,-0.0038,-0.0024
3.256,0.0121,-0.0056
3.26,-0.0115,-0.0004
3.264,-0.0055,-0.0029
3.268,-0.0166,-0.0311
3.272,-0.0115,0.0292
3.276,0.0006,0.0123
3.28,0.0234,0.0152
3.284,-0.0103,-0.0214
3.288,0.006,0.0229
3.292,-0.01,-0.0074
3.296,0.0167,0.0004
3.3,0.01,-0.0118
3.304,-0.0163,0.0083
3.308,-0.0034,0.0032
3.312,-0.0171,0.0149
3.316,-0.0081,-0.0034
3.32,-0.0071,0.0122
3.324,-0.0065,-0.0183
3.328,-0.0004,-0.0125
3.332,0.0012,-0.0004
3.336,-0.0039,-0.011
3.34,-0.0007,0.0082
3.344,0.0017,-0.0022
3.348,0.0069,0.0128
3.352,0.0015,-0.0078
3.356,0.0172,0.0079
3.36,-0.0103,0.0087
3.364,0.0018,0.0038
3.368,-0.0107,0.0249
3.372,0.0039,0.0038
3.376,-0.001,-0.0032
3.38,-0.0125,0.0065
3.384,-0.0064,0.0013
3.388,-0.0087,-0.0059
3.392,0.0221,-0.0118
3.396,0.0217,-0.0027
3.4,0.0001,0.0085
3.404,0.0287,0.0265
3.408,0.0533,0.0179
3.412,0.0636,0.0399
3.416,0.0879,0.0554
3.42,0.08,0.041
3.424,0.093,0.0742
3.428,0.1307,0.0747
3.432,0.1484,0.105
3.436,0.1228,0.0953
3.44,0.1429,0.1042
3.444,0.1468,0.0935
3.448,0.1518,0.0954
3.452,0.1229,0.0888
3.456,0.127,0.069
3.46,0.0943,0.063
3.464,0.0771,0.049
3.468,0.0709,0.0523
3.472,0.0647,0.0261
3.476,0.0409,0.0214
3.48,0.0104,0.015
3.484,0.0258,0.0128
3.488,0.0016,-0.0012
3.492,0.0211,0.0035
3.496,-0.0108,0.0079
3.5,0.0081,0.0192
3.504,0.0084,0.0025
3.508,0.0099,0.0016
3.512,-0.0109,0.0031
3.516,-0.0096,-0.0109
3.52,-0.0011,0.0134
3.524,0.0041,-0.003
3.528,0.0184,0.0028
3.532,-0.0025,-0.0028
3.536,0.0083,0.0121
3.54,0.0219,-0.0082
3.544,0.001,-0.0071
3.548,-0.0093,-0.0094
3.552,-0.0218,0.0122
3.556,-0.0066,-0.0193
3.56,-0.0113,0.0032
3.564,-0.0109,-0.0092
3.568,-0.0313,-0.037
3.572,-0.0951,-0.0602
3.576,-0.1203,-0.0798
3.58,-0.1145,-0.0618
3.584,0.0063,-0.0053
3.588,0.2485,0.1755
3.592,0.5622,0.3839
3.596,0.8574,0.6142
3.6,0.9956,0.6819
3.604,0.8416,0.6048
3.608,0.5095,0.3545
3.612,0.1815,0.1118
3.616,-0.0837,-0.0625
3.62,-0.2099,-0.1289
3.624,-0.2051,-0.1516
3.628,-0.1433,-0.0988
3.632,-0.0722,-0.0584
3.636,-0.0347,-0.019
3.64,-0.0165,-0.0158
3.644,0.0015,-0.0063
3.648,0.003,-0.0051
3.652,-0.0002,-0.0056
3.656,0.0013,-0.0015
3.66,0.0116,0.0086
3.664,-0.015,0.0092
3.668,-0.0177,-0.0165
3.672,-0.005,-0.0012
3.676,0.0063,0.0118
3.68,-0.0064,0.0024
3.684,0.0092,-0.0098
3.688,0.0032,0.003
3.692,-0.0001,-0.0174
3.696,-0.0005,0.0175
3.7,-0.003,-0.0037
3.704,0.0193,0.0106
3.708,0.0067,0.0119
3.712,-0.0167,0.0017
3.716,0.0095,0.0111
3.72,0.0104,0.0087
3.724,0.011,-0.0087
3.728,0.0065,0.0127
3.732,-0.0143,-0.0059
3.736,0.0059,-0.0107
3.74,-0.0008,-0.0188
3.744,-0.0074,0.0069
3.748,-0.0017,-0.0098
3.752,0.0025,-0.0032
3.756,0.017,0.0011
3.76,0.0025,-0.0144
3.764,0.0073,0.0127
3.768,-0.0003,0.0139
3.772,0.0411,0.0039
3.776,0.0186,0.0224
3.78,0.0656,0.044
3.784,0.0407,0.0232
3.788,0.0631,0.0589
3.792,0.0758,0.057
3.796,0.0958,0.0641
3.8,0.11,0.0724
3.804,0.1179,0.0882
3.808,0.1399,0.0966
3.812,0.1595,0.1227
3.816,0.1856,0.1459
3.82,0.2027,0.1583
3.824,0.2344,0.1682
3.828,0.2792,0.1588
3.832,0.2565,0.1894
3.836,0.2697,0.1777
3.84,0.2792,0.2066
3.844,0.3046,0.2134
3.848,0.293,0.2191
3.852,0.2764,0.202
3.856,0.2924,0.1935
